"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"85",10,16,0,"Black",1,2,3,2,3,2,2,1,3,2,3,2
"86",10,16,0,"Black",1,2,2,2,2,1,3,2,2,3,2,2
"87",10,16,0,"Black",2,1,1,2,3,1,3,1,1,3,1,2
"88",10,15,0,"Black",2,3,2,3,3,3,3,3,3,3,3,2
"89",10,16,1,"Other",2,2,3,3,1,1,3,3,1,1,2,2
"90",10,15,1,"Black",3,2,3,3,3,3,3,3,3,3,2,2
"91",10,15,0,"Hispanic",2,2,2,2,1,2,2,1,3,2,2,2
"92",10,16,0,"Black",2,1,2,2,1,2,2,2,1,2,2,2
"93",10,15,0,"White",3,2,2,2,1,2,3,3,2,2,1,2
"94",10,15,0,"Black",3,2,3,2,2,3,3,1,1,2,3,2
"95",10,15,1,"White",2,2,2,3,2,2,3,3,3,2,2,2
"96",10,15,1,"Black",2,2,3,3,2,3,3,3,2,2,3,2
"97",10,15,1,"Black",2,2,3,3,2,1,3,2,2,2,2,2
"98",10,15,1,"Black",2,1,1,2,1,2,2,3,1,2,2,2
"99",10,15,0,"Other",1,2,2,1,1,1,3,3,3,2,3,2
"100",10,16,1,"Black",2,2,2,2,2,2,1,2,1,3,2,2
"101",10,16,1,"White",3,2,2,2,1,2,2,1,3,2,2,2
"102",10,15,1,"Black",2,2,2,2,2,3,2,1,2,2,2,2
"103",10,16,0,"Black",2,2,2,1,1,1,2,1,2,2,1,2
"104",10,15,0,"White",2,2,2,2,1,2,2,1,2,2,2,2
"105",10,16,1,"White",2,1,2,3,1,1,3,3,2,2,2,2
"106",10,16,0,"Hispanic",1,1,1,1,2,3,3,1,2,3,3,2
"107",10,15,0,"White",2,1,2,1,2,2,2,1,3,2,2,2
"108",10,15,0,"Black",3,2,3,2,2,2,3,2,3,2,2,2
"109",10,15,0,"Black",2,2,3,2,2,2,3,2,2,3,2,2
"110",10,15,1,"Black",2,1,2,2,1,2,3,2,2,3,3,2
"111",10,16,1,"Black",2,3,2,2,1,2,3,2,2,2,2,2
"112",10,16,1,"Other",2,2,3,3,1,2,2,2,2,1,2,2
"113",10,15,1,"Other",3,2,2,2,2,2,3,2,3,1,3,2
"114",10,16,0,"Black",2,3,3,1,2,2,3,3,2,3,2,2
"115",10,15,1,"White",2,1,2,3,2,2,3,3,3,1,2,2
"116",10,16,1,"Black",3,2,3,3,2,3,3,3,2,3,3,2
"117",10,15,0,"Black",2,2,3,3,2,3,3,3,2,3,3,2
"118",11,16,0,"White",3,2,3,2,1,1,3,1,2,3,3,2
"119",11,16,1,"Black",3,2,2,1,2,2,2,1,3,2,2,2
"120",11,17,0,"Black",2,2,3,2,1,2,2,1,2,2,3,2
"121",11,16,0,"Black",2,2,2,3,1,1,2,1,2,3,1,2
"122",11,16,0,"White",2,1,1,3,1,3,2,1,3,2,3,2
"123",11,17,1,"White",2,3,2,2,1,2,1,1,2,1,2,2
"124",11,16,1,"White",3,3,2,3,2,2,3,3,2,2,3,2
"125",11,16,1,"White",2,3,2,3,2,2,3,3,2,2,2,2
"126",11,16,0,"Black",2,2,2,2,1,1,2,2,2,2,2,2
"127",11,17,0,"White",2,1,2,2,2,2,2,3,2,2,2,2
"128",11,16,0,"Black",3,2,2,2,1,1,2,1,2,3,2,2
"129",11,16,0,"Black",3,2,2,3,1,2,3,3,1,2,2,2
"130",10,16,0,"Black",2,2,2,2,1,2,2,2,2,2,2,2
"131",11,17,0,"Black",1,2,2,1,1,2,2,1,2,1,3,2
"132",10,16,1,"Black",1,1,1,2,1,1,2,2,1,3,1,2
"133",10,16,1,"White",3,3,3,3,2,2,3,3,2,3,2,2
"134",10,15,1,"Black",1,1,3,3,1,1,3,1,3,1,2,2
"135",11,17,0,"Black",2,2,3,1,1,1,3,2,2,2,2,2
"136",10,16,0,"Black",3,2,3,2,NA,1,3,1,3,3,2,2
"137",10,16,0,"White",2,1,3,1,1,2,3,1,2,2,1,2
"138",10,16,1,"Black",2,2,2,3,2,2,3,3,1,2,2,2
"139",10,15,1,"Black",2,2,2,2,2,1,3,3,2,3,2,2
"140",10,15,0,"Black",2,2,3,2,2,2,3,2,2,2,2,2
"141",10,15,0,"Black",2,2,2,3,2,2,3,3,2,3,3,2
"142",10,16,1,"Black",2,3,3,3,2,3,3,NA,3,3,3,2
"143",10,15,1,"Black",2,2,2,2,1,2,2,2,1,1,1,2
"144",10,16,1,"White",3,3,3,3,3,3,3,3,3,3,1,2
"145",10,16,0,"Black",1,1,1,2,1,1,2,1,1,1,1,2
"146",10,15,0,"Black",3,2,3,1,1,1,1,1,2,2,2,2
"147",10,16,0,"Black",1,2,2,2,1,3,2,1,3,3,2,2
"148",10,15,0,"Other",1,2,1,NA,1,1,1,1,1,1,2,2
