SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Garden Suburb Junior School,43.5244244,12.8,17.5,12.6130757
Tudor Primary School,58.0699834,21.7,10.1,20.0130757
Finchley Catholic High School,51.2586348,6.8,47.2,17.0869243
Coppetts Wood Primary School,29.5818258,19.2,24.8,5.3130757
Friern Barnet School,26.1224508,24.7,25.1,5.0130757
Deansbrook Infant School,42.7425164,19.3,12.8,17.3130757
Edgware Primary School,68.4591282,19.9,6.8,23.3130757
All Saints' CofE Primary School NW2,56.1755758,29.8,13.5,16.6130757
Christ's College Finchley,53.6783718,11.8,13.8,16.3130757
Bell Lane Primary School,60.403207,35.6,5.5,24.6130757
Bishop Douglass School Finchley,70.8796874,19.5,5.5,24.6130757
Pavilion Study Centre,63.3481086,25.3,44.3,14.1869243
Childs Hill School,66.1556744,34.8,9.7,20.4130757
St Andrew's CofE Voluntary Aided Primary School Totteridge,26.8257402,5.3,35.6,5.4869243
Trent CofE Primary School,63.0204768,4.3,46.9,16.7869243
Mapledown School,44.7671876,36.6,18.3,11.8130757
Manorside Primary School,19.7953128,15,27.8,2.3130757
Livingstone Primary and Nursery School,28.688898,38,35.2,5.0869243
St Catherine's RC School,51.2861018,9.4,42.8,12.6869243
Frith Manor Primary School,52.592352,10.9,16.9,13.2130757
St Mary's CofE Primary School East Barnet,74.408635,8.3,59.1,28.9869243
The Orion Primary School,60.5492598,31.2,9.1,21.0130757
Hasmonean Primary School,117.851398,4.2,89.3,59.1869243
Church Hill School,56.3706414,13.2,50.3,20.1869243
The Annunciation RC Junior School,71.8532076,13.3,13.3,16.8130757
Etz Chaim Jewish Primary School,124.951398,1.2,91.9,61.7869243
Claremont Primary School,69.6984374,43.7,10.7,19.4130757
Danegrove Primary School,31.9800164,16.4,34.3,4.1869243
Menorah Foundation School,121.351398,5.6,87.4,57.2869243
Ashmole Academy,40.2449834,5.7,22.1,8.0130757
Wren Academy,29.9581414,13.4,36.8,6.6869243
Millbrook Park Primary School,80.7745888,13.6,8.3,21.8130757
Holly Park Primary School,24.6882402,17.5,27.2,2.9130757
Queen Elizabeth's Girls' School,32.9471214,14.1,41,10.8869243
Martin Primary School,31.8143914,13,38,7.8869243
Courtland School,54.4854438,14.3,22.7,7.4130757
The Annunciation Catholic Infant School,73.4328126,11.7,14.2,15.9130757
Rimon Jewish Primary School,70.7548518,4.8,56.4,26.2869243
Our Lady of Lourdes RC School,44.515872,15.3,28.6,1.5130757
Barnfield Primary School,50.7217926,29.1,16.3,13.8130757
St Vincent's Catholic Primary School,49.6556744,7,40.5,10.3869243
St Andrew the Apostle Greek Orthodox School,93.908306,9.5,9.2,20.9130757
Sacred Heart Roman Catholic Primary School,64.7347862,5.3,50.4,20.2869243
St John's CofE Primary School,37.1828122,5.7,39.3,9.1869243
Hollickwood Primary School,32.5102798,27.8,28.8,1.3130757
Menorah Primary School,96.947944,4.1,65.7,35.5869243
St Mary's and St John's CofE School,49.1560032,15,12.7,17.4130757
The Compton School,24.6362666,17.4,23.6,6.5130757
Grasvenor Avenue Infant School,45.5564968,8.7,33.8,3.6869243
St James' Catholic High School,46.1578126,11.3,21.3,8.8130757
Parkfield Primary School,66.357648,20.3,5.5,24.6130757
