SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Gospel Oak Primary School,39.9385176,27.8,35,12.3471895
Fitzjohn's Primary School,77.4426846,6.5,29,6.3471895
Eleanor Palmer Primary School,79.2007166,10.5,56.6,33.9471895
Christ Church Primary School Hampstead,92.9753864,3.9,42.2,19.5471895
Christ Church School,33.7296508,25.3,20,2.6528105
Emmanuel Church of England Primary School,72.232661,9.6,44.7,22.0471895
Hampstead Parochial Church of England Primary School,69.5278898,11.4,40.1,17.4471895
Holy Trinity CofE Primary School NW3,64.6186034,31.7,13.8,8.8528105
Holy Trinity and Saint Silas CofE Primary School NW1,51.232712,13,40.1,17.4471895
Kentish Town Church of England Primary School,55.9922494,22.1,48,25.3471895
Rosary Roman Catholic Primary School,57.1151634,18.3,34.3,11.6471895
Richard Cobden Primary School,88.1643288,28.1,2.4,20.2528105
St Aloysius Roman Catholic Junior School,52.233316,33.8,20.2,2.4528105
St Aloysius Roman Catholic Infant School,36.5739016,41.6,22.7,0.0471895
St Dominic's Catholic Primary School,52.5690182,36.6,33,10.3471895
St George the Martyr Church of England Primary School,63.5140064,18.8,17,5.6528105
St Josephs Primary School,50.0788776,23.7,39.2,16.5471895
St Mary's Kilburn Church of England Primary School,50.7518582,27.8,14.4,8.2528105
St Mary and St Pancras Church of England Primary School,52.606655,29.7,19.1,3.5528105
St Michael's Church of England Primary School,79.5998974,43.4,9,13.6528105
St Patrick's Catholic Primary School,63.1944302,35,20.7,1.9528105
St Paul's Church of England Primary School,60.03433,15.7,48.1,25.4471895
St Eugene de Mazenod Roman Catholic Primary School,46.4168832,31.6,25.1,2.4471895
Our Lady Roman Catholic Primary School,31.3814376,34.8,21.6,1.0528105
Haverstock School,31.949739,38.1,16.4,6.2528105
Parliament Hill School,24.481038,26.4,31.5,8.8471895
Regent High School,75.1852154,38.6,5.8,16.8528105
Hampstead School,42.3677076,22.8,13.7,8.9528105
Acland Burghley School,48.4234156,25.2,41.1,18.4471895
The Camden School for Girls,43.5607864,13.1,39,16.3471895
Maria Fidelis Roman Catholic Convent School FCJ,47.1158286,35.7,12.8,9.8528105
William Ellis School,17.2565272,25.1,25.9,3.2471895
La Sainte Union Catholic Secondary School,54.283915,15.1,17,5.6528105
St Alban's Church of England Primary School,52.8601718,29.9,9,13.6528105
Frank Barnes School for Deaf Children,65.5150506,53.6,13,9.6528105
Camden Centre for Learning (CCfL) Special School,90.6995084,71.4,60.7,38.0471895
Swiss Cottage School - Development & Research Centre,40.5496466,54.5,17.5,5.1528105
Christopher Hatton Primary School,37.4074332,21.5,22.9,0.2471895
St Luke's Church of England Primary,74.5261186,14.3,30.6,7.9471895
The UCL Academy,37.0149176,28,10.5,12.1528105
Kings Cross Academy,152.9282276,19.3,100,77.3471895
Wac Arts College,82.7245826,76.1,30.4,7.7471895
Kingsgate Primary School,45.4272038,31.3,6.3,16.3528105
Abacus Belsize Primary School,82.2023856,3.6,13.2,9.4528105
CCfL Key Stage 3 PRU,120.5359884,62.5,62.5,39.8471895
Sir John Cass's Foundation Primary School,0.3636363,19.6,21.6,0.0090909
Castle Hill Academy,50.1300508,38.4,48.1,18.8039773
St Joseph's RC Infant School,66.8630616,17.3,17.4,11.8960227
Kenley Primary School,62.2931824,11.2,55.4,26.1039773
Cypress Primary School,29.132879,14.9,24.2,5.0960227
The Coningsby Pupil Referral Unit,71.4221,40.8,38.8,9.5039773
Winterbourne Boys' Academy,72.488833,33.2,2.4,26.8960227
Forest Academy,36.7833704,31,25,4.2960227
Gonville Academy,71.4002402,10,4.1,25.1960227
Park Hill Infant School,90.1200644,6.8,10.7,18.5960227
Selsdon Primary and Nursery School,37.3777538,19.8,42,12.7039773
St Chad's Catholic Primary School,84.8765126,17.1,5.4,23.8960227
Elmwood Junior School,72.4044176,19,3.8,25.4960227
Gresham Primary School,83.675656,3.7,62.4,33.1039773
St John's CofE Primary School,40.0441782,5,40.7,11.4039773
Harris Primary Academy Kenley,46.9813468,18.5,47,17.7039773
Margaret Roper Catholic Primary School,68.158594,2.5,53.8,24.5039773
Archbishop Tenison's CofE High School,44.003717,6.5,29.6,0.3039773
Purley Oaks Primary School,54.0565864,27.9,22,7.2960227
St Andrew's CofE Voluntary Aided High School,58.2918872,24,18.1,11.1960227
New Valley Primary School,28.6442064,24.8,32,2.7039773
Greenvale Primary School,91.2212596,3.2,73.8,44.5039773
Atwood Primary Academy,72.6439482,6.6,61.5,32.2039773
Whitehorse Manor Infant School,61.0812366,21.4,9.3,19.9960227
Oasis Academy Coulsdon,66.012232,21.8,60.2,30.9039773
Wolsey Infant School,60.6155068,21.6,56.2,26.9039773
Winterbourne Junior Girls' School,72.887666,14.6,1.5,27.7960227
St Mary's Catholic High School,66.8478512,15.2,4.8,24.4960227
Fairchildes Primary School,55.5701394,20.6,51.6,22.3039773
Beulah Junior School,67.3948338,28.4,4.5,24.7960227
Coloma Convent Girls' School,39.6143018,3.6,42.5,13.2039773
Woodcote Primary School,51.6090596,7.6,46.5,17.2039773
St Mary's Catholic Infant School,83.5665544,15.3,4.5,24.7960227
Heavers Farm Primary School,63.2426728,29.3,9.5,19.7960227
Priory School,52.4643108,51.9,16.7,12.5960227
Norbury Manor Primary School,62.226858,16.2,6.3,22.9960227
Ecclesbourne Primary School,57.1261216,21.8,8,21.2960227
Ridgeway Primary School,72.8788566,3.8,56.7,27.4039773
Smitham Primary School,71.3357054,11.8,61.7,32.4039773
The Hayes Primary School,78.9629978,2.4,64.4,35.1039773
Monks Orchard School,25.6200668,14.8,31.7,2.4039773
St Nicholas School,31.6003684,33.6,25.5,3.7960227
Norbury Manor Business and Enterprise College for Girls,70.5810264,22,5.1,24.1960227
Orchard Way Primary School,68.1433018,12.4,61.5,32.2039773
Cotelands PRU Co John Ruskin College,87.0191898,43.6,61.5,32.2039773
The Crescent Primary School,56.6829058,21.8,9.7,19.5960227
Oasis Academy Ryelands,42.1737324,27.3,18.9,10.3960227
St Joseph's RC Junior School,73.1335794,23.8,17.5,11.7960227
Beaumont Primary School,28.9724756,10.4,32.6,3.3039773
Chipstead Valley Primary School,90.212232,6.8,71.5,42.2039773
Howard Primary School,41.7064132,20.7,22,7.2960227
Ark Oval Primary Academy,49.600204,26.3,12.7,16.5960227
Beckmead School,73.5711244,51.9,45.5,16.2039773
Red Gates School,69.4102164,40.8,15,14.2960227
St Aidan's Catholic Primary School,73.56102,8.8,49.7,20.4039773
Moving On Pupil Referral Unit,64.0691366,31.9,38.3,9.0039773
Heathfield Academy,98.6028544,25.9,0,29.2960227
Woodside Primary School and Children's Centre,21.7577476,20.8,31.7,2.4039773
Harris City Academy Crystal Palace,32.4428172,7.9,20,9.2960227
Rowdown Primary School,67.5737684,37.7,55.3,26.0039773
Meridian High School,79.246392,35.1,68.4,39.1039773
Aerodrome Primary Academy,19.807064,30.3,30.4,1.1039773
Harris Academy Purley,22.33172,16.8,23.9,5.3960227
Elmwood Infant School,63.8626694,16,5.5,23.7960227
Good Shepherd Catholic Primary School,95.9807982,22.5,5.7,23.5960227
Beulah Infants' School,55.7451992,18.5,8.5,20.7960227
St James the Great RC Primary and Nursery School,66.6399446,9.4,19.6,9.6960227
Downsview Primary and Nursery School,55.9953902,11.7,10.7,18.5960227
Rockmount Primary School,30.1899756,18.4,34.9,5.6039773
Chestnut Park Primary School,98.6028544,19.3,0,29.2960227
All Saints CofE Primary School,63.3588864,34,9.1,20.1960227
Harris Invictus Academy Croydon,45.5052382,30.3,12.7,16.5960227
Christ Church CofE Primary School (Purley),31.3600634,18.2,40.4,11.1039773
Kensington Avenue Primary School,58.7102626,25.7,8.2,21.0960227
Courtwood Primary School,61.1142198,10,58.3,29.0039773
Wolsey Junior Academy,58.3909226,37.8,54.9,25.6039773
Harris Primary Academy Haling Park,62.7561858,11.6,21.4,7.8960227
Oasis Academy Shirley Park,26.7653236,25.3,24.4,4.8960227
St Peter's Primary School,45.1001142,9.4,45.2,15.9039773
Oasis Academy Byron,62.773094,33.5,47.6,18.3039773
The Quest Academy,23.0668646,23.2,28.7,0.5960227
West Thornton Primary School,88.0235834,15.3,4.3,24.9960227
Davidson Primary School,32.8637102,24.8,18.7,10.5960227
Harris Academy Upper Norwood,57.666839,13.8,8.6,20.6960227
Paxton Academy Sports and Science,66.9816388,61.5,5.3,23.9960227
Forestdale Primary School,64.1725456,10,58.2,28.9039773
Thomas More Catholic School,39.0298324,15.2,15,14.2960227
St. Mary's Catholic Junior School,93.085604,10.6,3.8,25.4960227
Virgo Fidelis Convent Senior School,60.8051842,15.7,6.8,22.4960227
Applegarth Academy,58.5237234,34.3,46.9,17.6039773
Woodcote High School,67.0699556,10.5,62,32.7039773
Oasis Academy Arena,41.9675414,35.3,29.3,0.0039773
The South Norwood Academy,52.9554932,27.3,14.1,15.1960227
St Joseph's College,56.421816,12.7,12.8,16.4960227
St Giles School,31.4489182,28.9,24.4,4.8960227
Kingsley Primary School,43.301153,30.8,15.2,14.0960227
Edenham High School,29.5228668,24.3,40.5,11.2039773
Riddlesdown Collegiate,66.8867072,9.9,61.6,32.3039773
Regina Coeli Catholic Primary School,35.9953922,11.1,33.5,4.2039773
St Thomas Becket Catholic Primary School,45.4248644,5.7,32.2,2.9039773
Shirley High School Performing Arts College,23.2208252,21.1,35.1,5.8039773
Phil Edwards Pupil Referral Unit,81.8200102,20,17.1,12.1960227
Whitehorse Manor Junior School,57.5678676,29,8,21.2960227
Winterbourne Nursery and Infants' School,87.5576994,10.8,1.3,27.9960227
The Archbishop Lanfranc Academy,58.3150404,29.3,13.6,15.6960227
Broadmead Primary Academy,37.4595528,31.2,13.7,15.5960227
Harris Primary Academy Benson,24.8211254,16.1,37.3,8.0039773
The Minster Nursery and Infant School,33.9576632,19.1,20,9.2960227
Park Hill Junior School,88.6844812,10.4,10.4,18.8960227
Bensham Manor School,51.550998,51.6,36.7,7.4039773
Keston Primary School,94.4439482,6.8,74.1,44.8039773
BRIT School for Performing Arts and Technology,57.4348206,20.5,52.2,22.9039773
St Cyprian's Greek Orthodox Primary Academy,78.992782,14.3,4.7,24.5960227
Gilbert Scott Primary School,37.5366822,26,42.9,13.6039773
Harris Academy South Norwood,51.176805,15,13.4,15.8960227
Robert Fitzroy Academy,51.3545088,21.9,8.9,20.3960227
Coulsdon CofE Primary School,97.6038512,2.4,77.3,48.0039773
St Mark's Church of England Primary Academy,97.6058026,27.2,4.8,24.4960227
David Livingstone Academy,54.2113392,29.4,16.3,12.9960227
The Minster Junior School,30.5147218,23.7,20.7,8.5960227
Ark Priory Primary Academy,91.4167505,7.9,42.5,26.9581462
Dormers Wells High School,58.5675513,18.3,3.1,12.4418538
The Ellen Wilkinson School for Girls,52.5265131,18.8,6.6,8.9418538
St Anselm's Catholic Primary School,80.5118737,12.4,1.7,13.8418538
Greenford High School,45.6338203,16.7,5.3,10.2418538
Ravenor Primary School,31.2667517,19.2,12.4,3.1418538
Edward Betham Church of England Primary School,56.3451601,6.4,23.8,8.2581462
West Twyford Primary School,79.6493445,12.9,3.1,12.4418538
West Acton Primary School,80.0988073,14.9,6.8,8.7418538
Ark Byron Primary Academy,99.1957645,19,0,15.5418538
Mount Carmel Catholic Primary School,107.2307239,3.4,46.5,30.9581462
Durdans Park Primary School,94.4395549,9.3,0.5,15.0418538
St Gregory's Catholic Primary School,106.3141947,3.5,29.6,14.0581462
St Joseph's Catholic Primary School,89.4581507,6.3,21,5.4581462
Southfield Primary School,51.9059247,16.7,28.8,13.2581462
Selborne Primary School,71.2295111,17.2,7.7,7.8418538
St Ann's School,58.1364073,47.8,8.9,6.6418538
Dormers Wells Infant School,64.7784755,14.9,1.9,13.6418538
Wood End Infant School,47.2157451,11.4,8.2,7.3418538
Christ the Saviour Church of England Primary School,85.1968121,7.4,33,17.4581462
Villiers High School,86.1966109,16.2,0.9,14.6418538
St Vincent's Catholic Primary School,81.5395571,9.1,23.7,8.1581462
Blair Peach Primary School,107.0380089,9.3,0.3,15.2418538
Coston Primary School,44.2084579,15.5,6.6,8.9418538
William Perkin Church of England High School,26.8709357,10.1,14.5,1.0418538
St Raphael's Catholic Primary School,52.8215803,5.7,16.2,0.6581462
The Cardinal Wiseman Catholic School,65.4585371,6.9,29.7,14.1581462
Twyford Church of England High School,80.3480553,6.7,44,28.4581462
Little Ealing Primary School,87.7083059,4.3,47.3,31.7581462
Greenwood Primary School,50.9103747,10.8,8.2,7.3418538
Derwentwater Primary School,61.6216565,20.2,20.3,4.7581462
Tudor Primary School,105.7966109,11.4,0.3,15.2418538
Northolt High School,33.7993433,19.6,19.7,4.1581462
Allenby Primary School,64.6510199,19.5,1.1,14.4418538
John Chilton School,36.1569643,37.1,18.2,2.6581462
Springhallow School,30.8803075,27.3,20.7,5.1581462
St John Fisher Catholic Primary School,96.0787637,4.8,10.7,4.8418538
Our Lady of the Visitation Catholic Primary School,66.7606573,4.1,21.1,5.5581462
Mayfield Primary School,48.6596723,14.3,22.1,6.5581462
Lady Margaret Primary School,86.9380089,10.5,0,15.5418538
Downe Manor Primary School,47.2531667,24.7,20.6,5.0581462
North Primary School,111.6995017,8.3,0.3,15.2418538
Oldfield Primary School,56.9779595,10.6,7.4,8.1418538
Hathaway Primary School,52.9551083,31.4,14.6,0.9418538
Khalsa VA Primary School,132.1062687,8.8,0.3,15.2418538
Dormers Wells Junior School,59.5301499,17.8,2.1,13.4418538
Featherstone High School,88.3646605,21.4,0.9,14.6418538
Vicar's Green Primary School,46.9273127,14.5,5.6,9.9418538
Brentside High School,26.1526465,18.3,14,1.5418538
Featherstone Primary and Nursery School,85.6662065,10.3,0.7,14.8418538
Drayton Green Primary School,44.8201575,16.7,9.5,6.0418538
Montpelier Primary School,52.8549719,8.9,15.7,0.1581462
Willow Tree Primary School,26.9907469,27.3,15,0.5418538
Hambrough Primary School,122.0380089,14,0.6,14.9418538
John Perryn Primary School,66.6498071,23.2,7.9,7.6418538
Petts Hill Primary School,51.9642431,26.2,8.8,6.7418538
Acton High School,56.6203899,24.4,10.5,5.0418538
St John's Primary School,43.8312067,24.7,6.1,9.4418538
Dairy Meadow Primary School,80.0538637,17.4,1.7,13.8418538
The Holy Family Catholic Primary School,68.6098519,8.7,26.5,10.9581462
Beaconsfield Primary and Nursery School,110.6966623,13,0,15.5418538
Alec Reed Academy,24.4764605,21.7,18.3,2.7581462
Ealing Alternative Provision,64.0408217,24.2,18.2,2.6581462
Three Bridges Primary School,51.4392197,24.6,6.4,9.1418538
Clifton Primary School,95.7966109,10.4,0.3,15.2418538
St Mark's Primary School,68.5668029,10.3,38.6,23.0581462
Havelock Primary School,91.9249671,12.8,0.3,15.2418538
East Acton Primary School,63.6295627,18.7,5.1,10.4418538
Wood End Academy,35.0468379,13.5,14,1.5418538
Belvue School,26.5648349,41.1,17.1,1.5581462
St Marys Church of England Primary Norwood Green,82.6377253,32.7,12.5,3.0418538
Berrymede Junior School,78.1664167,30.1,2.1,13.4418538
Hobbayne Primary School,53.4083059,10.8,30.1,14.5581462
Grange Primary School,51.4775441,17.7,23.4,7.8581462
Ealing Primary Centre,133.8980029,57.1,42.9,27.3581462
Horsenden Primary School,55.0768981,7.9,3.7,11.8418538
Perivale Primary School,72.5154837,10.1,1.7,13.8418538
Castlebar School,41.1732323,34.4,6.2,9.3418538
Mandeville School,40.1276255,34.8,7.1,8.4418538
Wolf Fields Primary School,75.1380089,11.2,4.6,10.9418538
Stanhope Primary School,38.8601635,17.5,6.1,9.4418538
Gifford Primary School,37.8574271,22.2,10.3,5.2418538
Oaklands Primary School,48.7675983,11.7,32.8,17.2581462
North Ealing Primary School,59.8934791,5.2,28.3,12.7581462
Brentside Primary School,30.5769453,12,15.9,0.3581462
Berrymede Infant School,73.9069145,31.5,7.7,7.8418538
Elthorne Park High School,77.5225923,11.8,48.7,33.1581462
Viking Primary School,63.5177337,21.9,3.4,12.1418538
Fielding Primary School,83.8337197,4.5,49.7,34.1581462
Drayton Manor High School,37.2068563,15.9,21.2,5.6581462
Carterhatch Infant School,23.790396,25.8,14.3,5.6772686
Chase Side Primary School,55.0450164,18.4,41.4,21.4227314
St Edmunds Catholic Primary School,98.006509,20.9,3,16.9772686
Grange Park Primary School,46.778127,7.4,32.3,12.3227314
St Michael's CofE Primary School,85.3396318,7.4,61.9,41.9227314
St Monica's RC Primary School,87.5549936,3.1,51.4,31.4227314
Hazelbury Junior School,42.7390088,27.6,4.9,15.0772686
Ark John Keats Academy,28.6049848,26.8,18,1.9772686
St John and St James CofE Primary School,72.8505166,18.6,2.1,17.8772686
Kingfisher Hall Primary Academy,54.3288,21.9,5.6,14.3772686
Eastfield Primary School,18.6027846,19.7,19.6,0.3772686
St Andrew's CofE Primary School,76.5589432,4.9,57.1,37.1227314
Brettenham Primary School,50.9368352,20.6,4.2,15.7772686
Brimsdown Primary School,31.0122994,26,12.2,7.7772686
Lavender Primary School,64.960301,15.1,46.3,26.3227314
Capel Manor Primary School,32.4824946,25.9,28.7,8.7227314
St Mary's RC Primary School,89.1863286,7.8,8.4,11.5772686
St George's RC Primary School,82.4615614,4.6,54.5,34.5227314
Galliard Primary School,22.2675064,17.6,13.7,6.2772686
Hazelbury Infant School,41.6526518,13.5,6.5,13.4772686
Hadley Wood Primary School,66.5671002,6.1,45.6,25.6227314
Southbury Primary School,59.9512372,17.5,5.1,14.8772686
Southgate School,39.8224066,7.7,29,9.0227314
Durants School,67.3377342,42.2,10.8,9.1772686
Enfield County School,29.965442,15.1,22.3,2.3227314
Carterhatch Junior School,25.1697146,24.6,13.7,6.2772686
Firs Farm Primary School,25.2088834,12.1,15.4,4.5772686
Tottenhall Infant School,50.144091,11.8,12.2,7.7772686
Chesterfield Primary School,24.9817826,27.9,13.7,6.2772686
Eldon Primary School,50.4410366,23.2,5,14.9772686
Eversley Primary School,50.1127174,4.3,17.6,2.3772686
Houndsfield Primary School,44.5879646,21.4,6.2,13.7772686
Meridian Angel Primary School,62.7361024,24.4,3.6,16.3772686
Hazelwood Junior School,45.2810942,12.1,26.2,6.2227314
Oasis Academy Hadley,36.3392098,34.5,9.9,10.0772686
Bowes Primary School,24.4397678,14.9,22.3,2.3227314
West Lea School,38.4529864,44.7,28.9,8.9227314
Bishop Stopford's School,85.4280206,17.6,4.9,15.0772686
Aylward Academy,39.5092896,30.1,8.2,11.7772686
Garfield Primary School,45.0101824,20.5,9.7,10.2772686
Bush Hill Park Primary School,34.6519982,21.7,8.1,11.8772686
Cuckoo Hall Academy,40.1934202,15.1,7.1,12.8772686
Woodpecker Hall Primary Academy,32.600282,15.9,10.9,9.0772686
St Ignatius College,44.2780966,10.8,20,0.0227314
Enfield Secondary Tuition Centre,41.9777088,17.1,22,2.0227314
Hazelwood Infant School,43.0452374,9.2,28.9,8.9227314
Merryhills Primary School,41.3684966,8.8,38.4,18.4227314
St James CofE Primary School,57.480997,15.5,20.5,0.5227314
Highfield Primary School,38.7481176,14.7,17.3,2.6772686
St Paul's CofE Primary School,99.90564,1.4,66,46.0227314
St Anne's Catholic High School for Girls,63.058436,17.1,9.6,10.3772686
The Raglan Junior School,34.467354,8.8,26.7,6.7227314
Wilbury Primary School,40.8621626,20.8,5.8,14.1772686
West Grove Primary School,42.746703,13.6,16,3.9772686
Alma Primary School,54.1282542,23.9,4.6,15.3772686
Highlands School,56.6325686,7,45.1,25.1227314
Freezywater St George's CofE Primary School,77.2547686,7.9,17.5,2.4772686
Winchmore School,31.7974206,16.6,11.9,8.0772686
Edmonton County School,25.7173958,21.6,11.4,8.5772686
Honilands Primary School,20.801713,33.4,23.7,3.7227314
Raglan Infant School,44.5147772,7.1,22.2,2.2227314
Keys Meadow School,22.4473262,21.4,17.2,2.7772686
Churchfield Primary School,35.5717868,22,6,13.9772686
Enfield Grammar School,37.632029,10.5,30.9,10.9227314
Lea Valley High School,20.7559618,27.4,22.7,2.7227314
St Michael at Bowes CofE Junior School,39.5940878,18.7,9,10.9772686
Oasis Academy Enfield,20.389367,24.2,18.4,1.5772686
St Matthew's CofE Primary School,93.9705812,16.2,10,9.9772686
Broomfield School,40.4745066,20.4,5.7,14.2772686
St Andrew's Southgate Primary School (CE),39.0752124,8.1,33.9,13.9227314
Our Lady of Lourdes Catholic Primary School,42.1492314,4.8,23.5,3.5227314
Enfield Heights Academy,71.0356942,29,12,7.9772686
Fleecefield Primary School,53.6103572,29.6,4.4,15.5772686
Suffolks Primary School,21.0107488,26.3,22.9,2.9227314
Kingsmead School,27.8346026,18,15.2,4.7772686
Worcesters Primary School,37.5361266,21.1,31,11.0227314
Aylands School,107.787995,61.9,33.3,13.3227314
Walker Primary School,53.4219034,4.7,20.4,0.4227314
Raynham Primary School,47.714597,18.2,3.3,16.6772686
Wolfson Hillel Primary School,132.0581132,2.1,82.6,62.6227314
Latymer All Saints CofE Primary School,77.288066,15.3,1.7,18.2772686
George Spicer Primary School,34.0260394,15.2,30.6,10.6227314
Nightingale Academy,48.4483104,23,10.1,9.8772686
Oakthorpe Primary School,49.7807332,19.1,6.5,13.4772686
Russet House School,70.3337844,52.3,13.4,6.5772686
Chace Community School,56.2581132,15.3,47.3,27.3227314
Prince of Wales Primary School,26.1202696,25.6,14.7,5.2772686
De Bohun Primary School,40.2555154,21.8,15.7,4.2772686
Starks Field Primary School,33.3211706,18.6,10.5,9.4772686
The Latymer School,76.6905684,3.3,32.6,12.6227314
Oaktree School,39.479497,57.1,35.2,15.2227314
Waverley School,22.0576524,37.3,15.8,4.1772686
Heron Hall Academy,49.9827992,21.7,3.4,16.5772686
Fossdene Primary School,38.5125262,22.8,21.8,11.2650805
Greenacres Primary School and Language Impairment Unit,50.0042688,14.4,51.3,18.2349195
Haimo Primary School,51.263354,25.4,52.1,19.0349195
Gallions Mount Primary School,38.1105436,16.1,19.5,13.5650805
Newhaven Pupil Referral Unit,78.0269886,29,63.6,30.5349195
Cherry Orchard Primary School,33.9713786,23.4,24.6,8.4650805
Ealdham Primary School,48.0405412,23.7,50.8,17.7349195
Thorntree Primary School,53.2485652,19.5,50.3,17.2349195
Morden Mount Primary School,55.9801258,25.9,9.5,23.5650805
Gordon Primary School,79.4932586,8.4,65,31.9349195
Brooklands Primary School,70.779496,8.5,56.9,23.8349195
Montbelle Primary School,65.3232796,10.8,62.4,29.3349195
Woodhill Primary School,39.359902,33.9,24.7,8.3650805
Henwick Primary School,56.1853976,29.6,53.6,20.5349195
Millennium Primary School,36.2632376,21.6,29.5,3.5650805
Invicta Primary School,55.593795,12.8,53.8,20.7349195
Halstow Primary School,64.3832048,4,51.1,18.0349195
Foxfield Primary School,31.7332402,23.1,24.2,8.8650805
Windrush Primary School,26.2271284,14.5,24.1,8.9650805
Heronsgate Primary School,58.3811524,16.4,15.2,17.8650805
Linton Mead Primary School,29.275414,23.5,32.1,0.9650805
Nightingale Primary School,52.8952414,16.4,15.7,17.3650805
Greenslade Primary School,48.3329834,13.3,39.4,6.3349195
Mulgrave Primary School,34.3308606,27.4,24.1,8.9650805
Charlton Manor Primary School,39.9028458,21.4,38.5,5.4349195
Eltham Church of England Primary School,48.5405644,14.3,50.2,17.1349195
Our Lady of Grace Catholic Primary School,47.5306274,9.4,24.6,8.4650805
Kidbrooke Park Primary School,36.5163518,27.1,28.3,4.7650805
St Margaret's Church of England Primary School,67.7533242,18.9,21.2,11.8650805
Saint Mary Magdalene Church of England Primary School,98.4627946,17.6,2.7,30.3650805
St Mary's Catholic Primary School,80.3079776,5.8,65.5,32.4349195
St Patrick's Catholic Primary School,80.0409844,12.2,8.6,24.4650805
St Alfege with St Peter's Church of England Primary School,54.062328,22.6,12.2,20.8650805
St Peter's Catholic Primary School,108.2764172,11,1.1,31.9650805
St Thomas More Catholic Primary School,46.200723,7.8,33,0.0650805
St Thomas A Becket Roman Catholic Primary School,87.0097038,10.2,11.2,21.8650805
Holy Family Catholic Primary School,75.1158852,11.5,10.7,22.3650805
Notre Dame Catholic Primary School,108.7565664,13.2,3.4,29.6650805
St Margaret Clitherow Catholic Primary School,116.3933988,10,1.2,31.8650805
Horn Park Primary School,38.6381852,28.2,44.1,11.0349195
Eltham Hill School,14.4648472,14.1,29.7,3.3650805
Plumstead Manor School,33.3495452,20.7,20.9,12.1650805
Meridian Primary School,54.4209936,19.8,42.6,9.5349195
Plumcroft Primary School,19.4771168,19,29.4,3.6650805
St Ursula's Convent School,39.5370656,9.5,21.8,11.2650805
Hawksmoor School,82.5028692,12.7,17.2,15.8650805
Wyborne Primary School,55.969839,17.7,55,21.9349195
Boxgrove Primary School,37.5853044,24,30.2,2.8650805
Rockliffe Manor Primary School,56.7171216,18.1,45.5,12.4349195
Moatbridge School,90.993562,36.8,73.7,40.6349195
Wingfield Primary School,49.9694892,13.5,15.1,17.9650805
Cardwell Primary School,42.235456,20.6,19.1,13.9650805
Woolwich Polytechnic School,39.3991136,18.8,19,14.0650805
James Wolfe Primary School and Centre for the Deaf,30.1364354,21.5,35.3,2.2349195
The Greenwich Free School,36.5148356,14.8,42.1,9.0349195
St Thomas More Catholic Comprehensive School,67.6498484,5.7,65.5,32.4349195
Middle Park Primary School,48.360975,26.4,53.1,20.0349195
Timbercroft Primary School,36.6581992,18.2,41.4,8.3349195
Corelli College,24.8602986,24.4,24.4,8.6650805
Christ Church Church of England Primary School Shooters Hill,54.0971076,8.6,52,18.9349195
Christ Church Church of England Primary School,44.1840448,29.4,24,9.0650805
Eglinton Primary School,39.5368088,19.4,18.5,14.5650805
St Joseph's Catholic Primary School,42.0904128,26.1,21.3,11.7650805
Discovery Primary School,72.028598,10.6,8.2,24.8650805
Bannockburn Primary School,51.1205974,11.5,16.2,16.8650805
The John Roan School,29.1282248,21.5,37.3,4.2349195
Sherington Primary School,48.9483088,8.2,46,12.9349195
St Paul's Academy,57.903779,13.9,16.3,16.7650805
Alexander McLeod Primary School,25.1966178,17.6,27.1,5.9650805
South Rise Primary School,53.817938,22.3,13.9,19.1650805
Bishop John Robinson Church of England Primary School,109.469699,15.2,3.1,29.9650805
De Lucy Primary School,29.3067414,25.3,35,1.9349195
Thomas Tallis School,34.8187544,18,45.1,12.0349195
Alderwood Primary School,64.0535106,31.9,53.8,20.7349195
Stationers Crown Woods Academy,65.1651272,13.5,65.1,32.0349195
Harris Academy Greenwich,41.1375788,36.5,50.4,17.3349195
Conway Primary School,60.6488922,24,12.1,20.9650805
University Technical College Royal Borough of Greenwich,46.3611382,10.9,17.5,15.5650805
Shooters Hill Post-16 Campus,99.3905996,0,0,33.0650805
Deansfield Primary School,83.7203638,7.1,73.2,40.1349195
Willow Dene School,39.0921858,34.7,24.1,8.9650805
Waterside School,85.4470492,61.5,38.5,5.4349195
Charlton Park Academy,30.5564732,37.1,42.1,9.0349195
The Urswick School - A Church of England Secondary School,22.3515251,52,10.7,5.0525532
Grasmere Primary School,88.1322411,13.4,37.8,22.0474468
Shacklewell Primary School,33.4686117,31.2,17.1,1.3474468
De Beauvoir Primary School,32.1885421,39.6,6.9,8.8525532
Sir Thomas Abney School,46.9813245,31.2,6.5,9.2525532
Daubeney Primary School,29.2704345,30.9,16.9,1.1474468
Ickburgh School,48.2451531,59,8.2,7.5525532
Haggerston School,24.3386609,33,16.3,0.5474468
The Garden School,72.5106667,57.6,5.8,9.9525532
Sebright School,38.6586259,35.3,10.9,4.8525532
Mandeville Primary School,55.2006121,33.7,3.7,12.0525532
Gainsborough Primary School,36.6664763,36.4,9.4,6.3525532
Tyssen Community Primary School,49.9509783,35.1,4.7,11.0525532
St Matthias Church of England Primary School,83.9712665,36,4.1,11.6525532
Jubilee Primary School,42.7049347,23.4,15.1,0.6525532
Randal Cremer Primary School,39.0852515,35.7,7.4,8.3525532
St John the Baptist Voluntary Aided Church of England Primary School,54.3589697,43,6.3,9.4525532
Harrington Hill Primary School,40.5086725,37.4,4.8,10.9525532
